Date / Time,City,State,Shape,Duration,Summary,Posted
6/15/2020 22:50,Ramsey,NJ,Formation,2 seconds,"It was nearly 11:00 PM on June 15th, 2020. A friend and I were on my back porch having a cigarette looking at the stars. It was a very",6/25/2020
6/15/2020 22:00,New Orleans,LA,Triangle,10 minutes,Smooth white triangle shaped object.,6/25/2020
6/15/2020 22:00,,NC,Other,30 mins,Like moving stars started with 3 in traingle then one after the other small space in between . ((Starlink satellites?)),7/9/2020
6/15/2020 22:00,Joshua Tree,CA,Light,3 minutes,"Dropping and then upward thrusting light that was previously stationary as a star, met by another before taking off horizontally",8/6/2020
6/15/2020 21:00,Clinton,AR,Unknown,15-20 seconds,I saw two mysterious red lights in the sky that had no sound and disappeared after about 15 seconds.,6/25/2020
6/15/2020 11:45,Medford,OR,Disk,10 seconds,Chrome disc traveling straight up towards the clouds not fast it looked very stereotypical like the movies as I was watching it it just,6/25/2020
6/15/2020 11:00,Columbus,OH,Other,15-20 minutes,"A flying object with orange rectangular lights close together, that formed a triangle, which at some point changed red",6/25/2020
6/15/2020 10:36,Estes Park,CO,,,MADAR Node 156,7/23/2020
6/15/2020 4:30,Derby,KS,Light,10-15 seconds,"Multiple lights over cemetary in Derby, KS approx 4:30 AM",6/25/2020
6/15/2020 3:00,Edwardsville,IL,Light,15 seconds,Same color of star moving between two stars in the sky but stopped and dimmed out in its place,6/25/2020
6/15/2020 1:25,Mt. Vernon,IN,,,MADAR Node 119,7/23/2020
6/15/2020 1:22,Mt. Vernon,IN,,,MADAR Node 119,7/23/2020
6/14/2020 23:00,Oklahoma City (SW OKC/ Moore,OK,Light,20 minutes,Multiple flickering objects seen at cloud level near Will Rogers Airport.,7/23/2020
6/14/2020 23:00,Niagara Falls (Canada),ON,Rectangle,30 seconds,Rectangular shape moving between lakes Erie and Ontario,6/25/2020
6/14/2020 21:38,Brookfield,CT,Rectangle,4:00,Bright orange and blinking object slowly scaled the sky before it vanished,6/25/2020
6/14/2020 20:30,Melford,KS,Circle,7-10 seconds,"Round metallic object moving slowly across the skyline for approximately 7-10 seconds, stopped then vanished. No sound or lights.",6/25/2020
6/14/2020 20:00,Koh Samui (Thailand),,Unknown,5-10 seconds,"The UFO flew South-West to North-East & altitude under 1000 feet about Mach 2-4, there was no noise & estimated at 10-20m in length.",6/25/2020
6/14/2020 16:44,Manchester,TN,Oval,8 seconds,"I witnessed an oval shaped craft, with no sound, emitting a red orange trail from one end. While I was keeping my eyes on it, I watched",6/25/2020
6/14/2020 13:00,Hendrix,OK,Circle,30 minutes,Clearly visable light or white object in the northwest sky moving southwest. used binoculars and looked possibly like a weather balloo,6/25/2020
6/14/2020 6:28,Payson,IL,,,MADAR Node 97,7/9/2020
6/14/2020 5:18,Folkston,GA,Sphere,10 minutes,Burning Object breaks up and smaller objects come to it.,6/25/2020
6/14/2020 4:05,Oro Valley,AZ,Circle,15 seconds,Bright lights in a row arcing in the sky.,6/25/2020
6/13/2020 23:57,Apollo,PA,Circle,2-3 minutes,To begin there was one original craft that had two other crafts exited from the original.,6/25/2020
6/13/2020 23:50,Lummi Island,WA,Light,40 seconds,Long object with lights on both ends traveling soundlessly nw to se,6/25/2020
6/13/2020 23:00,Inverness,FL,Fireball,30 seconds,"Fireball, slow moving and completely silent",6/25/2020
