Date / Time,City,State,Shape,Duration,Summary,Posted
4/16/2019 12:00,Louisville,KY,Sphere,6 seconds,"I was at ny parents' house, sitting on the porch swing out in the county (country-side), talking on the phone when an object that looke",4/18/2019
4/16/2019 11:15,Fort Myers,FL,Sphere,3 minutes,Sighted orb moving slowly over area South of Colonial Blvd and just East of Summerlin Blvd. Sunny day and was some reflection that attr,4/18/2019
4/16/2019 10:58,Derry,NH,Circle,6 seconds,"Very large blueish white round object, moving downwards from sky.",4/18/2019
4/16/2019 5:00,New Prague,MN,Fireball,3 minutes,Red fireball Passover to slow to be a meteor.,4/18/2019
4/16/2019 1:13,,PA,Disk,1 minute,it was a black disk that hoverd high in the sky.,5/21/2020
4/15/2019 0:00,Bakersfield,CA,Formation,10 minutes,At approximately 6 pm pst my girlfriend and and I were in our driveway looking up in the sky west about 5000 feet in the evening sky we,4/25/2019
4/15/2019 22:00,Leeds,UT,Light,10 minutes,Circular light seen over mountains in washington county. ((anonymous report)),4/18/2019
4/15/2019 21:06,Osceola,MO,Other,5 minutes,There were 3 rows of orange lights flashing looked like writing at fort then like fireworks then they separated in two different direct,4/18/2019
4/15/2019 21:00,Meriden,CT,Circle,1 hour,I saw a bright light hovering outside my window and it moved in a way I’ve never seen before. ((anonymous report))((Star??)),4/18/2019
4/15/2019 20:44,Aurora,CO,Chevron,10 seconds,Chevron shape objects at night.,4/18/2019
4/15/2019 20:00,Orlando,FL,Fireball,5 minute,It was a round bright object.,4/25/2019
